pdb,partner1,partner2,database,cms,dslf_fa13,fa_atr,fa_dun_dev,fa_dun_rot,fa_dun_semi,fa_elec,fa_intra_atr_xover4,fa_intra_elec,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hxl_tors,ifa_complex_normalized,ifa_dG_cross,ifa_dG_cross_dSASAx100,ifa_dG_separated,ifa_dG_separated_dSASAx100,ifa_dSASA_hphobic,ifa_dSASA_int,ifa_dSASA_polar,ifa_delta_unsatHbonds,ifa_hbond_E_fraction,ifa_hbonds_int,ifa_nres_all,ifa_nres_int,ifa_packstat,ifa_per_residue_energy_int,ifa_sc_value,ifa_side1_normalized,ifa_side1_score,ifa_side2_normalized,ifa_side2_score,interaction_energy,lk_ball,lk_ball_bridge,lk_ball_bridge_uncpl,lk_ball_iso,omega,p_aa_pp,pro_close,rama_prepro,ref,total_score,dG_exp
3da7,A,D,pdbbind,486.168151855469,0.0,-1157.79517381504,28.3723287785934,103.938760778485,211.561443569132,-381.002068829453,-73.210459529983,-43.870846669527,32.1240608912744,52.4602375753007,123.171083083399,827.482087868436,-57.1067013921928,-50.9985153536179,-26.5194071958358,-63.9609961427103,47.8709776444898,-2.4958348274231,-65.7401504516602,-4.22107887268066,-65.7401504516602,-4.22107887268066,748.886291503906,1557.42529296875,808.538940429687,4,0.326115846633911,16,199,63,0.64335960149765,-2.79772996902466,0.759187340736389,-3.06075596809387,-107.126457214356,-2.46894717216492,-69.1305236816406,-65.7401474084426,443.835041942542,-1.7623917915597,-10.4938993803482,-461.377933764177,28.6230823088324,-51.361656826468,0.533108517821521,16.4348552991594,-33.618144,-496.671126433451,-9.39428146324347
3zeu,D,E,pdbbind,865.352355957031,0.0,-3358.7673197082,72.9067491872244,268.80830413794,405.486250337969,-1043.05988650277,-171.810852837847,-135.863440299425,82.8688666925387,110.24108922532,354.960953683922,2227.59588393198,-86.0031467362339,-155.6694051782,-71.4744121349817,-229.480881718826,117.976361472652,-2.8810760974884,-105.539337158203,-3.54136872291565,-105.539337158203,-3.54136872291565,1963.81640625,2980.18481445312,1016.36846923828,7,0.121706433594226,10,567,114,0.613973259925842,-2.76343941688538,0.735424220561981,-2.48754167556763,-141.789886474609,-3.03933715820312,-173.242218017578,-103.228729860367,1257.28187852465,-4.07043893406169,-27.917678542968,-1316.47022378257,40.2812977665669,-113.167390467987,1.9586650965147,112.283554020232,27.5350819999999,-1633.57014076656,-8.91890329176651
1syq,A,B,pdbbind,752.901916503906,0.0,-1690.50063036833,45.7554469902335,166.903489953107,240.087114906718,-554.535319642782,-95.8383432959604,-48.1137680397772,54.7632634313868,65.4652325264688,184.234884130744,1300.99162839408,-13.662414995846,-4.87132991452012,-19.1087962876152,-230.0462784312,62.4040471231849,-1.91396045684815,-90.1932601928711,-3.74137902259827,-90.1932601928711,-3.74137902259827,1906.76989746094,2410.69555664063,503.925628662109,2,0.0,0,284,99,0.558597087860107,-2.21498155593872,0.762229084968566,-2.27618098258972,-168.437393188477,-2.03383135795593,-50.8457832336426,-90.1932570264502,707.856684921894,-1.46710348089389,-9.74381418543786,-716.398314315359,16.9212107312396,-31.2799336695375,5.1053822718926,80.4537741020077,-58.940876,-543.564763144295,-10.6857130770619
2omw,A,B,pdbbind,646.107849121094,0.0,-3198.42253374334,83.5729106705847,239.166323445211,470.583878703016,-962.117632445132,-167.308226290066,-170.579338417267,57.8665313187257,115.926113339058,309.466335032818,2062.55906596552,-144.551258936557,-237.452523579767,-61.4511198881636,-121.660834204284,207.946133444499,-3.09782409667969,-53.8347206115723,-2.06435775756836,-53.8347206115723,-2.06435775756836,1296.01574707031,2607.8193359375,1311.80346679688,9,0.158497244119644,9,565,114,0.590930461883544,-2.84297895431519,0.637462735176086,-2.88190937042236,-221.907012939453,-2.7619616985321,-102.192581176758,-53.8347220850847,1174.12540500772,-5.68421470525225,-39.6631468957732,-1220.23400548981,40.5945473403179,-109.309546820084,3.15638283909649,154.725642167778,-231.52554,-1750.27065214116,-6.82123452062405
1rew,AB,C,skempi,712.337097167969,-14.5363933364113,-1610.89240642714,43.9104346806495,122.1344226693,271.577946341098,-453.337457999817,-91.2945353750134,-83.9159933250047,33.8880029441647,64.1771270539713,176.103739564515,1069.63525836937,-51.708550330764,-126.639201666637,-18.920632230621,-53.5241456699217,52.3083679947716,-2.58529615402222,0.0,0.0,-86.3205718994141,-3.69864201545715,1370.61657714844,2333.84497070312,963.228332519531,10,0.167304158210754,11,292,88,0.709687829017639,-2.62455654144287,0.730333447456359,-2.6161994934082,-109.880378723145,-2.63218665122986,-121.080589294434,-84.08252446998,541.581838436919,-1.75781067314653,-12.5161669102736,-604.92343357495,26.3099770269545,-71.4606019661994,3.30220484321674,64.0176256922935,-28.426078,-754.906461868679,-12.511860007607
3wn7,A,B,pdbbind,509.234558105469,0.0,-1829.63206316285,45.8435958872918,153.411907567465,259.075578222574,-609.814150045296,-94.6047001883331,-79.5192412117849,40.0715878562541,62.215333048703,189.451263382378,1210.273384618,-67.7717040235122,-176.13287580403,-57.5929162624294,-39.5763318297222,65.0545928143882,-3.21061611175537,-64.1962356567383,-4.11618709564209,-64.1962356567383,-4.11618709564209,849.476013183594,1559.60437011719,710.12841796875,3,0.265344947576522,14,310,76,0.741481065750122,-3.23333716392517,0.727882742881774,-3.27936935424805,-186.924057006836,-3.09524059295654,-58.8095703125,-64.1962374355447,649.160874724093,-2.73904443905899,-18.9109943295195,-698.071115487037,43.0069548578264,-86.4342265564372,2.66084895076716,30.3121879187667,14.970246,-995.2910074915,-11.0996255301889
6gum,A,B,pdbbind,511.284698486328,0.0,-1533.70101472035,43.3929618057908,137.344490887646,253.516795891327,-509.262698936133,-91.055147959431,-49.6706242158871,39.4372811650046,63.0786873088136,154.796402957361,1102.7524992406,-67.0345272106623,-79.4963366173026,-33.7307990591835,-93.9737149702544,47.5559870524825,-2.78772258758545,-57.1261901855469,-3.13823580741882,-57.1261901855469,-3.13823580741882,959.952941894531,1820.32824707031,860.375244140625,10,0.267704516649246,11,266,60,0.625812351703643,-2.73539710044861,0.655795693397522,-2.60298895835876,-75.4866790771484,-2.85926270484924,-88.6371459960938,-54.2806143116701,580.445709725083,-2.13209259977635,-14.3561445163224,-592.544727693652,21.7659757365794,-59.3942941417687,5.49243368567187,53.7355121024759,-118.496822,-741.534207081892,-8.07745865496365
3g3b,A,B,pdbbind,419.965179443359,-7.04316346429046,-1677.89872755054,44.8341006489934,153.079309313111,220.912319599717,-465.068505709197,-91.1236311177015,-76.8770104526814,33.0683815229795,65.3421046504981,174.21212818365,1159.83374669097,-50.2215464542887,-77.0378162531501,-46.6891061223555,-95.062509018484,84.9958898161998,-2.49963283538818,-42.4799156188965,-2.74676132202148,-42.4799156188965,-2.74676132202148,710.63623046875,1546.54553222656,835.909301757813,13,0.308102548122406,11,296,59,0.588973879814147,-2.66227316856384,0.651543140411377,-2.74330711364746,-85.0425186157227,-2.57255697250366,-72.0315933227539,-42.4799140151829,600.253596482628,-3.47145243041491,-23.6635054659658,-653.683650260729,30.2868428464195,-68.4805885226566,2.79652570938362,45.468364163927,-18.653444,-739.891347193979,-10.188906765816
1y33,E,I,pdbbind,469.674774169922,0.0,-2001.41317495421,43.3779809559214,140.216797261087,242.086771200461,-620.034681675009,-88.9707375443752,-88.8009537525529,32.5319841694689,63.5857333549116,200.376909492543,1354.50192546748,-69.5699727695992,-114.650381526909,-31.7280098058284,-114.507161720939,78.5910412194649,-2.96673011779785,-59.1306915283203,-3.59391188621521,-59.1306915283203,-3.59391188621521,990.201049804688,1645.30163574219,655.100646972656,8,0.184813261032104,10,345,86,0.799979925155639,-2.79091548919678,0.667467534542083,-2.87174272537231,-178.048049926758,-2.58211159706116,-61.9706802368164,-50.2834978627119,757.749467658156,-3.55364122164296,-24.1043416408273,-797.622680726218,23.707234001923,-81.9634538044025,3.66450742947627,64.2915844907974,8.71540200000004,-1023.52185244083,-11.9638329095741
1c1y,A,B,pdbbind,381.376403808594,0.0,-1387.45666177426,34.7665252404317,141.309416858296,241.042661846967,-428.699511126599,-83.8176871558807,-57.3007059665107,34.2085013824525,57.9196079533062,140.340450459625,943.753311236587,-29.7754975416916,-83.5458188111275,-36.6751388053312,-73.0603478660017,40.1495049190736,-2.60427737236023,-43.528938293457,-3.12974214553833,-43.528938293457,-3.12974214553833,668.809509277344,1390.81555175781,722.006042480469,5,0.281941592693328,11,244,51,0.620276689529418,-2.74912142753601,0.761682987213134,-2.42674064636231,-72.8022155761719,-3.20966577529907,-67.4029769897461,-41.2053898194134,499.746319726066,-2.34904779603626,-16.2485123391729,-538.134309778441,9.16390486004846,-41.3718391663397,0.502237339968133,16.3693562777484,-16.280392,-635.443672026823,-8.07339486560177
